year,1,2,3,4,5,6,7,8,9,10,11,12
1995,1.0006,1.0017,1.0009,1.0011,0.9986,0.9989,0.9994,0.9984,0.9989,1.0003,0.9992,1.0016
1996,0.9992,0.9998,0.9997,0.9995,1.0000,1.0006,1.0012,1.0001,1.0002,0.9995,0.9989,1.0005
1997,0.9985,0.9993,0.9994,0.9995,0.9993,1.0005,0.9998,0.9996,0.9995,1.0022,1.0007,1.0014
1998,0.9988,0.9989,1.0007,1.0001,0.9997,0.9997,1.0002,1.0019,1.0001,1.0035,0.9999,1.0010
1999,1.0003,0.9999,0.9987,0.9994,1.0014,1.0049,0.9997,1.0004,0.9990,1.0000,1.0070,1.0014
2000,0.9996,0.9987,0.9991,0.9987,1.0009,0.9984,0.9990,0.9986,0.9989,0.9999,1.0004,1.0014
2001,0.9992,0.9996,1.0009,1.0001,0.9994,1.0010,1.0290,0.9974,0.9989,1.0029,1.0038,1.1499
2002,1.9500,2.0000,2.9500,2.9750,3.6000,3.8500,3.6900,3.6100,3.7400,3.5150,3.6200,3.4050
2003,3.2050,3.2050,2.9750,2.8250,2.8550,2.8000,2.9150,2.9450,2.9050,2.8500,2.9700,2.9400
2004,2.9750,2.9150,2.8650,2.8450,2.9600,2.9550,2.9750,3.1050,2.9850,2.9750,2.9450,2.9750
2005,2.9240,2.9380,2.9170,2.9100,2.8830,2.8870,2.8610,2.9110,2.9100,3.0020,2.9660,3.0320
2006,3.0660,3.0740,3.0820,3.0480,3.0850,3.0860,3.0720,3.0970,3.1040,3.0890,3.0680,3.0620
2007,3.1070,3.1000,3.1000,3.0900,3.0770,3.0930,3.1210,3.1560,3.1500,3.1420,3.1450,3.1490
2008,3.1580,3.1610,3.1680,3.1640,3.0990,3.0250,3.0440,3.0300,3.1350,3.3880,3.3730,3.4530
2009,3.4880,3.5670,3.7200,3.7140,3.7490,3.7970,3.8300,3.8510,3.8430,3.8190,3.8110,3.8000
2010,3.8350,3.8590,3.8780,3.8880,3.9290,3.9310,3.9400,3.9500,3.9600,3.9570,3.9880,3.9760
2011,4.0080,4.0300,4.0540,4.0800,4.0900,4.1100,4.1450,4.2000,4.2050,4.2360,4.2810,4.3040
2012,4.3325,4.3540,4.3790,4.4125,4.4700,4.5270,4.5850,4.6387,4.6975,4.7635,4.8370,4.9160
2013,4.9780,5.0455,5.1206,5.1885,5.2835,5.3863,5.5062,5.6713,5.7908,5.9082,6.1405,6.5180
2014,8.0188,7.8855,8.0010,8.0008,8.0785,8.1315,8.2138,8.4013,8.4335,8.5030,8.5280,8.5505
2015,8.6330,8.7215,8.8197,8.9219,9.0035,9.0987,9.1976,9.2987,9.4258,9.5180,9.6609,12.9399
2016,13.8910,15.8315,14.6975,14.2850,13.9825,15.0385,15.0010,14.9262,15.3595,15.1650,15.8665,15.8680
2017,15.8985,15.4750,15.3805,15.3885,16.0940,16.6220,17.6450,17.3370,17.3130,17.6350,17.3050,18.6145
2018,19.6350,20.1150,20.1150,20.5305,24.9610,28.9365,27.4210,36.9000,41.2900,35.9000,37.7315,37.6530
2019,37.2990,39.1260,43.3615,44.3000,44.7695,42.4800,43.8200,59.5000,57.5925,59.5700,59.9250,59.8700
2020,60.2750,62.1300,64.3120,66.7800,68.4715,70.3915,72.3100,74.0220,76.1700,78.3200,81.3000,84.0800
2021,87.3000,89.8200,91.9800,93.3630,94.4900,95.7000,96.6800,97.7400,98.7300,99.1300
